year,reason
2000,no article matched any URL pattern
2001,no article matched any URL pattern
2002,no article matched any URL pattern
2003,no article matched any URL pattern
2004,no article matched any URL pattern
2005,no article matched any URL pattern
2006,no article matched any URL pattern
2007,no article matched any URL pattern
2008,no article matched any URL pattern
2009,no article matched any URL pattern
2010,no article matched any URL pattern
2011,no article matched any URL pattern
2012,no article matched any URL pattern
2013,no article matched any URL pattern
2014,no article matched any URL pattern
2015,no article matched any URL pattern
2016,no article matched any URL pattern
2017,no article matched any URL pattern
2018,no article matched any URL pattern
2019,no article matched any URL pattern
2021,no article matched any URL pattern
2022,no article matched any URL pattern
2023,no article matched any URL pattern
2024,no article matched any URL pattern
