event_id,ticker,reason
E00001,CPRI,pre-window before listing (i0=0)
E00002,TPR,pre-window before listing (i0=0)
E00003,PVH,pre-window before listing (i0=28)
E00004,RL,pre-window before listing (i0=28)
E00005,BRBY.L,pre-window before listing (i0=0)
E00007,1913.HK,pre-window before listing (i0=0)
E00008,BC.MI,pre-window before listing (i0=0)
E00009,MONC.MI,pre-window before listing (i0=0)
E00010,SFER.MI,pre-window before listing (i0=0)
E00015,CPRI,pre-window before listing (i0=0)
E00016,TPR,pre-window before listing (i0=0)
E00019,BRBY.L,pre-window before listing (i0=0)
E00021,1913.HK,pre-window before listing (i0=0)
E00022,BC.MI,pre-window before listing (i0=0)
E00023,MONC.MI,pre-window before listing (i0=0)
E00024,SFER.MI,pre-window before listing (i0=0)
E00029,CPRI,pre-window before listing (i0=0)
E00033,BRBY.L,pre-window before listing (i0=0)
E00035,1913.HK,pre-window before listing (i0=0)
E00036,BC.MI,pre-window before listing (i0=0)
E00037,MONC.MI,pre-window before listing (i0=0)
E00038,SFER.MI,pre-window before listing (i0=0)
E00043,CPRI,pre-window before listing (i0=0)
E00047,BRBY.L,pre-window before listing (i0=0)
E00049,1913.HK,pre-window before listing (i0=0)
E00050,BC.MI,pre-window before listing (i0=0)
E00051,MONC.MI,pre-window before listing (i0=0)
E00052,SFER.MI,pre-window before listing (i0=0)
E00057,CPRI,pre-window before listing (i0=0)
E00061,BRBY.L,pre-window before listing (i0=0)
E00063,1913.HK,pre-window before listing (i0=0)
E00064,BC.MI,pre-window before listing (i0=0)
E00065,MONC.MI,pre-window before listing (i0=0)
E00066,SFER.MI,pre-window before listing (i0=0)
E00071,CPRI,pre-window before listing (i0=0)
E00077,1913.HK,pre-window before listing (i0=0)
E00078,BC.MI,pre-window before listing (i0=0)
E00079,MONC.MI,pre-window before listing (i0=0)
E00080,SFER.MI,pre-window before listing (i0=0)
E00085,CPRI,pre-window before listing (i0=0)
E00091,1913.HK,pre-window before listing (i0=0)
E00092,BC.MI,pre-window before listing (i0=0)
E00093,MONC.MI,pre-window before listing (i0=0)
E00094,SFER.MI,pre-window before listing (i0=0)
E00099,CPRI,pre-window before listing (i0=0)
E00105,1913.HK,pre-window before listing (i0=0)
E00106,BC.MI,pre-window before listing (i0=0)
E00107,MONC.MI,pre-window before listing (i0=0)
E00108,SFER.MI,pre-window before listing (i0=0)
E00113,CPRI,pre-window before listing (i0=0)
E00119,1913.HK,pre-window before listing (i0=0)
E00120,BC.MI,pre-window before listing (i0=0)
E00121,MONC.MI,pre-window before listing (i0=0)
E00122,SFER.MI,pre-window before listing (i0=0)
E00127,CPRI,pre-window before listing (i0=0)
E00133,1913.HK,pre-window before listing (i0=0)
E00134,BC.MI,pre-window before listing (i0=0)
E00135,MONC.MI,pre-window before listing (i0=0)
E00136,SFER.MI,pre-window before listing (i0=0)
E00141,CPRI,pre-window before listing (i0=0)
E00147,1913.HK,pre-window before listing (i0=0)
E00148,BC.MI,pre-window before listing (i0=0)
E00149,MONC.MI,pre-window before listing (i0=0)
E00150,SFER.MI,pre-window before listing (i0=0)
E00155,CPRI,pre-window before listing (i0=0)
E00161,1913.HK,pre-window before listing (i0=0)
E00162,BC.MI,pre-window before listing (i0=0)
E00163,MONC.MI,pre-window before listing (i0=0)
E00164,SFER.MI,pre-window before listing (i0=0)
E00169,CPRI,pre-window before listing (i0=0)
E00175,1913.HK,pre-window before listing (i0=0)
E00176,BC.MI,pre-window before listing (i0=0)
E00177,MONC.MI,pre-window before listing (i0=0)
E00178,SFER.MI,pre-window before listing (i0=0)
E00183,CPRI,pre-window before listing (i0=0)
E00189,1913.HK,pre-window before listing (i0=0)
E00190,BC.MI,pre-window before listing (i0=0)
E00191,MONC.MI,pre-window before listing (i0=0)
E00192,SFER.MI,pre-window before listing (i0=0)
E00197,CPRI,pre-window before listing (i0=0)
E00203,1913.HK,pre-window before listing (i0=0)
E00204,BC.MI,pre-window before listing (i0=0)
E00205,MONC.MI,pre-window before listing (i0=0)
E00206,SFER.MI,pre-window before listing (i0=0)
E00211,CPRI,pre-window before listing (i0=0)
E00217,1913.HK,pre-window before listing (i0=0)
E00218,BC.MI,pre-window before listing (i0=0)
E00219,MONC.MI,pre-window before listing (i0=0)
E00220,SFER.MI,pre-window before listing (i0=0)
E00225,CPRI,pre-window before listing (i0=0)
E00232,BC.MI,pre-window before listing (i0=0)
E00233,MONC.MI,pre-window before listing (i0=0)
E00234,SFER.MI,pre-window before listing (i0=0)
E00239,CPRI,pre-window before listing (i0=0)
E00246,BC.MI,pre-window before listing (i0=0)
E00247,MONC.MI,pre-window before listing (i0=0)
E00248,SFER.MI,pre-window before listing (i0=0)
E00253,CPRI,pre-window before listing (i0=0)
E00260,BC.MI,pre-window before listing (i0=0)
E00261,MONC.MI,pre-window before listing (i0=0)
E00262,SFER.MI,pre-window before listing (i0=0)
E00267,CPRI,pre-window before listing (i0=0)
E00274,BC.MI,pre-window before listing (i0=0)
E00275,MONC.MI,pre-window before listing (i0=0)
E00276,SFER.MI,pre-window before listing (i0=0)
E00281,CPRI,pre-window before listing (i0=0)
E00288,BC.MI,pre-window before listing (i0=0)
E00289,MONC.MI,pre-window before listing (i0=0)
E00290,SFER.MI,pre-window before listing (i0=0)
E00295,CPRI,pre-window before listing (i0=0)
E00302,BC.MI,pre-window before listing (i0=0)
E00303,MONC.MI,pre-window before listing (i0=0)
E00304,SFER.MI,pre-window before listing (i0=0)
E00309,CPRI,pre-window before listing (i0=0)
E00316,BC.MI,pre-window before listing (i0=0)
E00317,MONC.MI,pre-window before listing (i0=0)
E00318,SFER.MI,pre-window before listing (i0=0)
E00323,CPRI,pre-window before listing (i0=0)
E00330,BC.MI,pre-window before listing (i0=0)
E00331,MONC.MI,pre-window before listing (i0=0)
E00344,BC.MI,pre-window before listing (i0=0)
E00345,MONC.MI,pre-window before listing (i0=0)
E00359,MONC.MI,pre-window before listing (i0=0)
E00373,MONC.MI,pre-window before listing (i0=0)
E00387,MONC.MI,pre-window before listing (i0=0)
